SYMBOL | TIMEFRAME | STATUS
----------------------------------------
[2025-12-27 15:26:03] ===== FETCHING 1d DATA =====
[2025-12-27 15:26:03] APOLLOTYRE | 1d | FROM 2025-12-27
[2025-12-27 15:26:04] APOLLOTYRE | 1d | UPDATED (1)
[2025-12-27 15:26:04] AWHCL | 1d | FROM 2025-12-27
[2025-12-27 15:26:04] AWHCL | 1d | UPDATED (1)
[2025-12-27 15:26:04] BGRENERGY | 1d | FROM 2025-12-27
[2025-12-27 15:26:04] BGRENERGY | 1d | UPDATED (1)
[2025-12-27 15:26:04] CENTENKA | 1d | FROM 2025-12-27
[2025-12-27 15:26:04] CENTENKA | 1d | UPDATED (1)
[2025-12-27 15:26:04] COSMOFIRST | 1d | FROM 2025-12-27
[2025-12-27 15:26:04] COSMOFIRST | 1d | UPDATED (1)
[2025-12-27 15:26:04] DSSL | 1d | FROM 2025-12-27
[2025-12-27 15:26:05] DSSL | 1d | UPDATED (1)
[2025-12-27 15:26:05] ELGIRUBCO | 1d | FROM 2025-12-27
[2025-12-27 15:26:05] ELGIRUBCO | 1d | UPDATED (1)
[2025-12-27 15:26:05] GICHSGFIN | 1d | FROM 2025-12-27
[2025-12-27 15:26:05] GICHSGFIN | 1d | UPDATED (1)
[2025-12-27 15:26:05] GUJALKALI | 1d | FROM 2025-12-27
[2025-12-27 15:26:05] GUJALKALI | 1d | UPDATED (1)
[2025-12-27 15:26:05] JCHAC | 1d | FROM 2025-12-27
[2025-12-27 15:26:06] JCHAC | 1d | NO NEW DATA
[2025-12-27 15:26:06] KMSUGAR | 1d | FROM 2025-12-27
[2025-12-27 15:26:06] KMSUGAR | 1d | UPDATED (1)
[2025-12-27 15:26:06] LGBBROSLTD | 1d | FROM 2025-12-27
[2025-12-27 15:26:06] LGBBROSLTD | 1d | UPDATED (1)
[2025-12-27 15:26:06] NIITLTD | 1d | FROM 2025-12-27
[2025-12-27 15:26:06] NIITLTD | 1d | UPDATED (1)
[2025-12-27 15:26:06] NILKAMAL | 1d | FROM 2025-12-27
[2025-12-27 15:26:06] NILKAMAL | 1d | UPDATED (1)
[2025-12-27 15:26:06] SREEL | 1d | FROM 2025-12-27
[2025-12-27 15:26:07] SREEL | 1d | UPDATED (1)
[2025-12-27 15:26:07] UMESLTD | 1d | FROM 2025-12-27
[2025-12-27 15:26:07] UMESLTD | 1d | UPDATED (1)
[2025-12-27 15:26:07] USHAMART | 1d | FROM 2025-12-27
[2025-12-27 15:26:07] USHAMART | 1d | UPDATED (1)
[2025-12-27 15:26:07] VINYLINDIA | 1d | FROM 2025-12-27
