symbol,symbol_id,date,daily_rsi_3,daily_rsi_9,weekly_rsi_3,monthly_rsi_3,ret_5d,ret_10d
RELINFRA,1608,1996-08-27,82.28,54.33,56.76,89.82,4.62,3.37
MTNL,1291,1996-12-11,87.08,60.86,56.63,65.62,3.52,8.43
HINDUNILVR,820,1997-09-10,87.5,61.96,53.23,66.91,-3.73,-8.43
HINDUNILVR,820,1997-11-25,80.35,60.61,69.27,68.45,2.88,-4.5
MOREPENLAB,1276,1999-07-12,90.6,63.67,69.55,99.57,6.07,13.7
HINDUNILVR,820,2000-01-06,63.45,51.68,63.21,61.66,21.79,10.32
RELINFRA,1608,2002-01-03,80.85,57.97,68.82,64.61,-0.75,1.97
RELINFRA,1608,2002-04-10,90.18,72.63,84.74,88.32,-2.86,-1.05
RELINFRA,1608,2002-05-29,77.57,57.31,56.89,69.95,-1.71,3.27
RAYMOND,1589,2002-06-11,96.79,66.54,67.9,87.73,6.83,5.53
RELINFRA,1608,2002-06-11,85.41,61.02,65.68,52.6,1.6,-2.44
HEROMOTOCO,801,2002-08-12,80.83,50.99,64.79,100.0,5.62,-2.19
3MINDIA,5,2002-08-23,82.14,65.5,57.12,100.0,2.83,1.2
MPSLTD,1283,2002-08-26,70.97,50.15,54.91,100.0,2.72,-2.33
MPSLTD,1283,2002-08-28,75.85,57.23,54.91,100.0,-2.87,-3.57
WOCKPHARMA,2188,2002-09-16,75.38,54.33,66.72,100.0,2.58,6.4
NIPPOBATRY,1362,2002-09-25,95.04,73.82,58.1,100.0,-3.81,-4.63
BAJAJFINSV,234,2002-10-08,74.25,48.46,54.79,100.0,3.69,0.51
BAJAJHLDNG,238,2002-10-08,74.25,48.46,54.79,100.0,3.69,0.51
BOSCHLTD,331,2002-10-14,74.44,46.88,74.62,74.85,5.16,6.24
NIPPOBATRY,1362,2002-10-21,98.93,80.48,87.66,100.0,-1.65,-1.1
RCOM,1596,2002-10-30,66.85,46.83,67.81,100.0,11.43,12.14
RAYMOND,1589,2002-11-12,81.07,54.1,59.68,60.36,0.98,3.14
MASTEK,1212,2002-11-14,77.25,53.34,61.39,96.56,8.93,23.47
INGERRAND,915,2002-12-10,84.48,63.04,77.76,78.61,2.74,0.43
BOSCHLTD,331,2002-12-24,93.63,68.54,72.35,94.5,6.72,7.34
ULTRACEMCO,2061,2002-12-26,84.22,54.81,67.79,60.74,6.35,7.06
ABBOTINDIA,24,2002-12-31,77.87,52.06,82.01,56.04,6.31,7.57
AKZOINDIA,95,2002-12-31,93.68,70.72,92.0,99.79,0.59,2.92
ABBOTINDIA,24,2003-01-02,76.0,61.87,82.01,89.05,4.19,5.58
HONDAPOWER,837,2003-02-06,85.79,63.35,74.88,69.57,-2.28,-0.16
RELINFRA,1608,2003-02-17,91.23,73.75,82.24,72.79,1.58,-0.91
GILLETTE,686,2003-02-18,76.23,56.67,72.05,59.53,7.17,2.57
SUNDRMBRAK,1899,2003-03-05,84.09,58.44,69.68,54.34,-0.93,-0.42
GILLETTE,686,2003-04-02,63.84,48.68,50.9,62.5,3.08,8.44
HONAUT,836,2003-04-28,77.79,57.48,82.24,50.69,9.07,3.0
ULTRACEMCO,2061,2003-04-29,86.67,76.62,90.3,74.81,-1.96,-6.04
PGHL,1476,2003-05-02,91.77,61.16,57.02,68.83,2.44,3.71
OFSS,1395,2003-05-09,78.95,60.29,59.25,53.07,-4.82,-2.52
ACC,34,2003-05-13,63.21,46.03,53.63,56.05,1.49,7.31
NSIL,1381,2003-05-19,82.05,54.57,74.03,88.09,6.58,14.46
RAMCOSYS,1581,2003-05-20,73.46,53.89,80.14,62.98,12.31,1.5
BAJAJ-AUTO,231,2003-05-23,86.6,60.65,61.95,72.13,5.58,4.6
BAJAJFINSV,234,2003-05-23,86.61,60.66,61.83,69.96,5.58,4.59
BAJAJHLDNG,238,2003-05-23,86.61,60.66,61.83,69.96,5.58,4.59
GILLETTE,686,2003-07-02,93.19,75.58,85.43,92.82,0.35,3.74
GLAXO,692,2003-07-28,88.74,67.45,89.73,89.9,5.11,8.43
HGS,809,2003-09-09,87.56,61.29,53.12,64.44,-1.61,-1.83
SANDESH,1697,2003-09-29,82.17,51.38,56.51,52.78,5.23,7.84
HONAUT,836,2003-10-03,81.39,65.89,69.49,52.16,4.55,2.83
GLAXO,692,2003-10-07,95.89,79.64,91.73,96.06,-2.62,-2.57
BASF,262,2003-10-14,85.44,65.4,87.46,87.91,10.71,3.6
PFIZER,1471,2003-10-27,81.15,56.69,70.33,68.34,2.92,7.37
RAYMOND,1589,2003-11-11,76.35,56.24,72.04,99.25,18.33,18.84
AKZOINDIA,95,2003-12-04,85.35,62.88,70.74,85.61,7.89,15.76
SUBEXLTD,1886,2004-02-09,65.08,43.96,61.06,55.14,17.95,1.91
HEUBACHIND,803,2004-02-10,79.35,52.63,50.81,50.18,0.52,1.06
PGHL,1476,2004-02-13,80.39,58.02,54.43,54.98,0.29,-4.07
SANOFI,1704,2004-02-13,78.82,54.03,50.31,86.71,9.47,2.7
TVTODAY,2049,2004-03-29,78.18,51.77,59.85,100.0,3.73,3.8
HEUBACHIND,803,2004-03-30,83.93,54.4,61.28,52.5,1.54,1.48
GRASIM,734,2004-03-31,74.39,53.52,66.52,80.55,6.86,8.38
ULTRACEMCO,2061,2004-03-31,74.39,53.51,66.52,80.53,6.86,8.38
DICIND,507,2004-04-01,86.0,60.53,55.85,53.22,-0.86,0.09
DREDGECORP,535,2004-04-12,85.94,64.74,71.61,84.38,6.96,1.02
HEUBACHIND,803,2004-06-17,82.51,60.63,61.08,66.19,-0.31,6.79
APOLLOHOSP,143,2004-06-25,92.84,64.38,73.28,86.23,1.76,3.84
PGHH,1475,2004-07-08,100.0,100.0,100.0,99.92,8.44,11.67
ZEEMEDIA,2205,2004-07-19,84.44,63.79,81.24,73.58,8.2,5.64
BAJAJ-AUTO,231,2004-08-02,83.2,53.94,51.35,64.52,1.94,1.91
BAJAJFINSV,234,2004-08-02,81.04,53.09,51.35,64.52,1.94,1.91
BAJAJHLDNG,238,2004-08-02,81.04,53.09,51.35,64.52,1.94,1.91
MRF,1284,2004-08-05,89.1,69.66,89.17,80.99,26.92,39.27
JINDALPOLY,976,2004-08-10,83.22,67.55,90.95,70.56,3.82,-2.98
WOCKPHARMA,2188,2004-08-13,84.53,63.9,66.34,70.48,-0.55,3.4
PFIZER,1471,2004-08-17,83.92,56.28,68.71,57.27,1.59,2.4
RAMCOSYS,1581,2004-08-27,80.79,60.86,66.14,56.36,21.86,14.71
PGHL,1476,2004-09-06,74.36,55.31,72.74,70.62,4.72,2.09
SHYAMTEL,1792,2004-10-08,85.33,66.47,74.56,73.55,4.15,9.92
BASF,262,2004-10-11,90.5,68.04,81.47,79.42,1.66,0.17
ASTRAZEN,191,2004-10-28,70.81,53.02,52.6,72.71,6.83,12.7
TATACOMM,1953,2004-11-01,71.33,59.41,83.03,83.93,4.56,10.98
DATAMATICS,461,2004-11-03,73.2,40.77,54.04,51.1,1.53,1.65
HINDALCO,814,2004-11-03,68.53,49.37,61.28,64.82,4.06,3.14
TVSHLTD,2045,2004-11-03,80.26,66.46,67.62,92.24,0.81,7.43
ZFCVINDIA,2210,2004-11-03,80.25,66.46,67.62,92.24,0.8,7.43
ABREL,32,2004-11-08,72.72,58.29,78.0,87.81,2.24,1.78
RANEHOLDIN,1585,2004-11-09,73.74,49.05,61.75,66.74,4.25,4.48
MPSLTD,1283,2004-11-10,89.47,55.95,52.3,66.85,-1.85,0.61
CIPLA,404,2004-11-11,74.34,54.42,53.13,60.75,-3.67,-1.99
HEUBACHIND,803,2004-11-11,92.27,74.64,76.79,72.44,-2.31,-1.37
MRF,1284,2004-11-16,95.58,72.01,66.41,87.1,-1.55,5.15
NIPPOBATRY,1362,2004-11-23,80.27,61.43,87.88,70.57,3.74,2.15
GTL,754,2004-11-24,88.94,74.07,81.97,92.51,6.41,5.22
GTLINFRA,755,2004-11-24,90.49,74.83,80.32,92.39,6.41,5.22
MRF,1284,2004-11-29,86.86,68.03,91.53,87.1,14.22,11.1
DREDGECORP,535,2004-12-02,88.09,69.89,77.08,81.23,1.37,8.57
AUTOAXLES,209,2004-12-14,76.46,57.78,74.38,88.94,7.58,2.42
EIMCOELECO,558,2004-12-14,96.84,80.18,73.64,64.95,-7.28,-11.54
MASTEK,1212,2005-01-03,78.07,62.79,82.13,83.68,6.23,5.34
SWARAJENG,1930,2005-01-10,83.46,67.15,78.01,95.59,-2.87,-1.11
FOSECOIND,646,2005-01-24,83.55,60.9,75.67,79.6,-5.74,-3.36
GESHIP,679,2005-01-24,66.13,47.49,61.84,51.77,6.46,6.14
BOSCHLTD,331,2005-01-25,80.44,53.21,60.97,75.33,3.01,8.25
HONAUT,836,2005-01-28,79.32,60.95,68.89,91.11,10.45,5.44
INFY,914,2005-01-28,83.68,59.59,59.24,77.74,2.35,3.24
MRF,1284,2005-02-04,89.51,63.9,71.36,96.56,8.15,6.79
MAHSCOOTER,1178,2005-02-08,83.56,62.36,77.54,72.92,5.26,5.08
HEROMOTOCO,801,2005-02-11,84.77,59.73,67.61,66.88,-2.64,-5.62
TATACOMM,1953,2005-02-14,82.84,61.35,52.8,59.51,-3.19,-4.04
DREDGECORP,535,2005-02-28,93.32,70.91,90.1,74.35,8.62,8.76
PFIZER,1471,2005-03-02,76.03,54.16,58.55,85.67,5.76,7.4
GILLETTE,686,2005-03-15,90.11,65.84,82.47,68.23,5.01,3.79
PGHH,1475,2005-03-30,83.3,54.31,62.56,52.02,1.19,3.1
MAHSEAMLES,1179,2005-04-01,75.88,57.5,62.27,71.23,-0.54,1.82
PGHH,1475,2005-04-01,78.7,61.0,62.56,69.66,1.68,2.49
JINDALPOLY,976,2005-04-12,81.39,59.51,66.3,75.74,2.48,-0.56
EIMCOELECO,558,2005-04-13,78.86,58.25,69.67,80.41,4.75,7.37
SWARAJENG,1930,2005-04-21,88.81,64.39,69.12,69.89,2.63,4.83
3MINDIA,5,2005-04-22,79.12,58.44,57.01,52.7,2.1,15.43
INFY,914,2005-05-04,65.72,41.96,52.26,64.22,6.62,5.4
LT,1150,2005-05-04,87.43,59.66,62.14,66.34,0.5,3.38
SMARTLINK,1822,2005-05-04,85.97,62.95,72.77,53.46,4.71,4.4
ORCHPHARMA,1414,2005-05-09,74.34,44.27,64.71,66.33,6.75,3.29
HGS,809,2005-05-10,84.86,65.74,71.88,73.88,-0.47,7.71
RADICO,1563,2005-05-16,78.29,48.79,55.06,82.99,0.5,8.15
MCLEODRUSS,1226,2005-05-20,84.77,72.97,81.77,50.64,0.13,-6.0
PATANJALI,1454,2005-05-25,81.37,64.44,89.53,92.15,15.5,15.18
APOLLOHOSP,143,2005-06-03,77.76,58.81,68.85,76.93,-1.06,-0.3
RCOM,1596,2005-06-06,82.35,66.65,77.67,90.1,3.94,16.99
HCL-INSYS,786,2005-06-14,77.34,55.25,78.88,59.31,5.5,5.71
APOLLOHOSP,143,2005-06-24,87.87,67.42,74.19,76.93,4.59,4.6
BALAJITELE,243,2005-06-30,77.57,59.92,69.39,70.04,3.15,0.56
SIMPLEXINF,1807,2005-06-30,87.37,64.56,67.53,99.9,-1.27,-0.74
TVSHLTD,2045,2005-06-30,81.39,60.39,70.84,60.75,-3.21,-2.69
ZFCVINDIA,2210,2005-06-30,81.38,60.02,63.22,60.74,-3.2,-2.68
SIEMENS,1794,2005-07-04,77.98,57.92,90.12,88.41,9.34,8.26
3IINFOLTD,4,2005-07-06,86.73,56.13,55.63,80.88,-2.77,11.02
GRASIM,734,2005-07-11,85.09,56.15,61.25,56.31,4.54,7.96
HONAUT,836,2005-07-11,74.01,56.04,80.16,84.42,5.56,14.11
KIRLOSENG,1063,2005-07-13,88.41,66.04,50.75,92.48,2.62,0.32
CURAA,450,2005-07-14,75.93,55.82,53.94,74.86,18.23,-93.81
HONDAPOWER,837,2005-07-15,78.1,56.66,55.98,77.29,2.68,-4.91
TVSHLTD,2045,2005-07-15,81.38,66.26,71.07,68.26,0.25,0.17
ZFCVINDIA,2210,2005-07-15,81.44,66.33,76.7,68.25,0.25,0.17
RAYMOND,1589,2005-07-18,82.1,65.56,92.66,79.04,0.81,-0.12
SMARTLINK,1822,2005-07-18,83.12,62.85,53.26,61.31,2.38,-1.39
BOSCHLTD,331,2005-07-20,80.73,49.19,59.97,76.39,4.72,4.86
SHYAMTEL,1792,2005-07-29,81.6,62.53,72.11,62.03,-4.44,0.34
JSL,999,2005-08-05,81.24,62.17,68.13,76.24,-1.15,-2.57
KIRLOSENG,1063,2005-08-09,88.87,69.9,86.9,95.32,7.83,-2.86
MRF,1284,2005-08-09,71.14,41.88,81.25,78.51,14.82,33.55
GILLETTE,686,2005-08-12,77.05,56.09,52.43,80.75,-1.63,3.59
ASTRAZEN,191,2005-08-16,72.53,54.44,72.51,78.92,11.76,10.35
HONDAPOWER,837,2005-08-30,77.43,51.73,62.7,56.8,0.85,2.65
MTNL,1291,2005-08-31,76.71,50.03,50.21,52.71,6.92,4.6
MARUTI,1209,2005-09-01,77.66,59.52,79.23,87.51,5.37,15.85
RELINFRA,1608,2005-09-13,87.38,65.06,61.39,53.1,-2.64,-7.85
ORCHPHARMA,1414,2005-09-15,81.75,64.87,64.46,90.6,-9.16,3.66
PFIZER,1471,2005-09-26,89.88,59.06,71.71,91.72,5.8,1.61
SANOFI,1704,2005-09-30,82.23,57.88,56.49,75.21,-2.6,-4.86
ADOR,50,2005-10-27,69.56,39.41,52.02,81.37,34.44,50.4
BASF,262,2005-10-31,79.82,53.29,50.04,64.49,1.55,2.5
SUBEXLTD,1886,2005-10-31,86.24,62.42,70.27,73.22,4.41,6.71
ACC,34,2005-11-02,81.78,58.91,62.37,77.43,3.06,8.32
SHREECEM,1780,2005-11-02,77.68,57.39,61.23,85.15,-2.61,-1.11
VHL,2118,2005-11-02,75.0,52.18,52.17,52.94,-5.1,-2.25
63MOONS,8,2005-11-07,78.88,43.78,77.01,73.82,24.7,25.88
ABREL,32,2005-11-07,76.42,46.88,56.26,51.86,2.2,2.36
APARINDS,136,2005-11-07,82.98,56.28,67.72,88.88,2.92,1.05
DICIND,507,2005-11-07,86.92,55.15,69.12,58.95,3.38,3.03
GILLETTE,686,2005-11-07,86.06,47.9,78.1,50.62,2.05,1.54
GTL,754,2005-11-07,72.38,44.69,53.3,55.4,9.17,10.32
GTLINFRA,755,2005-11-07,72.38,44.63,53.3,55.4,9.17,10.32
HEROMOTOCO,801,2005-11-07,85.32,62.38,80.08,88.24,4.99,11.56
HINDALCO,814,2005-11-07,78.06,46.75,59.63,55.07,4.7,5.88
HONAUT,836,2005-11-07,72.21,44.64,55.05,68.1,3.79,4.01
ONGC,1408,2005-11-07,79.03,44.36,61.06,61.41,5.0,5.08
PGHH,1475,2005-11-07,93.09,66.03,60.96,91.81,-2.87,-3.12
RADICO,1563,2005-11-07,84.13,49.58,64.27,72.63,4.69,6.06
UNIVCABLES,2078,2005-11-07,75.95,50.72,57.68,69.97,9.53,5.34
3MINDIA,5,2005-11-08,71.04,53.02,54.33,52.18,2.05,-2.67
GESHIP,679,2005-11-11,91.66,71.41,79.15,86.94,4.47,9.75
BAJAJHIND,237,2005-11-14,77.04,55.56,59.28,80.68,0.14,11.77
PATANJALI,1454,2005-11-14,91.19,59.75,50.32,52.76,-2.82,-0.06
DREDGECORP,535,2005-11-16,78.56,56.06,57.3,88.96,-0.03,2.32
EVERESTIND,605,2005-11-16,90.74,68.62,59.8,70.02,-1.9,2.12
HEUBACHIND,803,2005-11-16,73.97,58.04,72.0,72.3,2.39,4.31
MAHSCOOTER,1178,2005-11-17,82.93,61.35,71.85,86.56,6.64,6.83
MRF,1284,2005-11-17,75.01,51.29,54.77,54.29,0.61,0.78
PATELENG,1455,2005-11-17,88.76,66.88,77.66,71.66,-0.28,-0.76
SASKEN,1714,2005-11-17,72.39,49.18,50.44,100.0,-0.7,0.23
NSIL,1381,2005-11-21,73.25,45.8,60.45,52.55,-1.33,1.19
CHENNPETRO,394,2005-11-25,85.04,58.79,58.91,63.9,3.51,-0.96
NSIL,1381,2005-11-25,73.7,57.68,60.45,52.55,-2.59,-2.04
DREDGECORP,535,2005-11-28,86.48,67.09,82.98,88.96,-2.37,-2.86
INGERRAND,915,2005-12-02,87.29,67.23,76.11,61.46,-0.23,-1.47
SUNDRMBRAK,1899,2005-12-08,88.55,68.44,77.2,59.57,-0.74,-2.55
RAYMOND,1589,2005-12-22,83.79,66.1,76.19,69.33,-3.6,-2.33
CENTENKA,375,2005-12-27,62.9,43.25,57.29,62.57,9.35,2.27
HIMATSEIDE,813,2006-01-03,79.98,64.5,78.29,90.56,-0.03,-2.23
HONDAPOWER,837,2006-01-06,75.86,60.56,62.99,59.76,2.38,-0.23
SHREECEM,1780,2006-01-06,84.02,58.66,62.12,85.52,9.63,13.1
NIPPOBATRY,1362,2006-01-12,76.43,64.69,86.5,63.98,-1.55,-2.19
ASIANHOTNR,181,2006-01-18,82.51,68.52,95.46,97.95,11.12,17.6
BLUEDART,318,2006-01-24,81.81,65.55,83.5,93.58,-0.75,1.34
NSIL,1381,2006-01-24,81.98,63.67,89.17,65.84,-1.55,-5.12
HINDOILEXP,818,2006-01-27,77.11,56.81,53.59,57.9,-7.18,-2.23
MRF,1284,2006-01-27,88.49,70.01,75.04,51.72,-2.1,12.53
INGERRAND,915,2006-02-02,71.93,56.07,82.21,88.83,3.67,8.9
TATACOMM,1953,2006-02-10,76.57,57.19,58.62,53.38,-1.48,-2.45
MAHSCOOTER,1178,2006-02-13,74.58,48.34,63.63,60.58,6.58,9.18
ADOR,50,2006-02-16,83.37,59.57,64.26,84.85,-3.6,-3.18
VHL,2118,2006-02-16,75.88,60.81,67.95,68.61,-3.34,-3.55
DREDGECORP,535,2006-02-27,88.1,54.77,58.91,56.86,0.06,-2.39
SEMAC,1739,2006-02-28,69.46,46.02,66.79,54.27,6.9,4.96
INFY,914,2006-03-01,79.4,62.48,53.78,76.58,-3.58,0.57
DREDGECORP,535,2006-03-02,71.33,53.83,58.91,51.01,-0.2,-2.41
3IINFOLTD,4,2006-03-03,78.77,59.43,63.0,70.72,-3.24,4.69
BALAJITELE,243,2006-03-06,84.55,63.41,89.14,86.04,5.37,7.98
SCI,1729,2006-03-07,74.84,48.58,54.7,69.26,1.41,0.46
INFY,914,2006-03-10,79.39,61.6,72.4,76.58,1.83,-1.17
LUMAXIND,1155,2006-03-13,68.75,52.52,81.98,53.09,3.81,1.93
SUBEXLTD,1886,2006-03-13,82.44,64.88,88.13,88.34,3.0,1.11
ZODIACLOTH,2213,2006-03-13,74.85,57.37,58.6,73.03,-3.18,-4.71
LMW,1141,2006-03-14,75.85,53.3,58.05,84.44,3.46,7.6
ESABINDIA,592,2006-03-27,92.1,69.98,89.31,90.09,5.32,10.59
ASTRAZEN,191,2006-04-03,90.09,66.78,78.46,95.68,-1.86,1.78
BASF,262,2006-04-03,86.8,57.61,78.8,59.55,6.02,8.18
ENIL,582,2006-04-03,70.96,49.45,53.56,100.0,-1.63,0.35
LIBERTSHOE,1131,2006-04-03,81.65,57.83,66.24,62.78,-1.01,0.48
RELINFRA,1608,2006-04-18,75.56,61.33,69.87,57.78,-3.92,-3.11
BEML,280,2006-04-26,80.89,52.96,71.01,96.02,-0.51,-4.23
JINDRILL,979,2006-04-27,79.25,57.82,60.79,73.57,15.91,20.12
DREDGECORP,535,2006-05-02,83.79,69.01,69.77,52.17,-1.78,-5.15
ACC,34,2006-06-19,78.61,53.87,52.85,53.39,-2.69,1.94
MANGLMCEM,1193,2006-06-19,69.41,38.76,52.43,50.75,11.16,14.5
MRF,1284,2006-07-20,90.48,72.37,66.5,54.57,7.09,23.86
GESHIP,679,2006-08-01,78.22,58.28,58.27,73.37,3.86,14.35
APARINDS,136,2006-08-07,78.98,55.01,73.1,51.42,10.35,20.57
BOMDYEING,326,2006-08-09,65.28,51.29,66.2,59.07,22.9,23.19
PVP,1549,2006-08-09,70.72,46.51,57.87,58.34,24.94,55.19
SANOFI,1704,2006-08-09,81.22,50.24,60.72,56.88,9.25,21.77
FMGOETZE,640,2006-08-11,82.62,66.14,72.79,76.35,-5.66,-9.65
RELIANCE,1606,2006-08-11,78.74,58.48,60.29,77.21,5.6,10.99
JINDRILL,979,2006-09-11,85.25,62.03,75.44,60.43,0.0,0.0
JUBLPHARMA,1011,2006-09-27,88.0,56.59,71.97,57.19,-0.63,-1.08
PGHH,1475,2006-09-28,81.64,62.68,75.78,58.72,-0.47,1.85
AMBUJACEM,116,2006-10-05,90.49,71.4,92.21,75.65,0.7,0.33
MRF,1284,2006-10-05,83.9,70.84,89.89,84.82,14.49,6.82
ESABINDIA,592,2006-10-06,80.05,62.74,64.63,64.23,2.66,2.85
HEUBACHIND,803,2006-10-06,83.69,64.97,77.47,58.1,1.04,-4.03
SEAMECLTD,1734,2006-10-06,86.66,65.53,69.67,75.85,16.62,9.89
SUNDRMBRAK,1899,2006-10-10,84.53,67.14,68.44,78.72,-2.65,-5.03
ASIANHOTNR,181,2006-10-12,80.84,67.18,83.69,93.08,3.57,10.97
HINDALCO,814,2006-10-16,84.7,70.99,85.82,70.45,0.96,4.77
OFSS,1395,2006-10-17,84.03,71.55,96.89,89.02,5.45,3.58
JSWHL,1003,2006-10-20,73.17,53.7,50.05,58.68,5.85,5.79
BLUEDART,318,2006-10-23,83.25,63.86,74.45,74.78,1.47,-0.14
ENIL,582,2006-10-23,83.92,60.74,74.61,61.9,-2.15,-12.16
DRREDDY,536,2006-10-27,69.82,56.03,57.41,82.19,6.8,7.93
ONGC,1408,2006-10-27,86.13,63.84,72.69,62.98,11.17,11.29
HGS,809,2006-11-01,76.05,60.05,57.3,66.06,-2.85,0.21
NITCO,1365,2006-11-06,70.75,46.93,74.76,67.94,22.62,7.14
PGHH,1475,2006-11-08,90.47,74.41,85.48,60.28,-3.63,-4.69
STAR,1867,2006-11-10,84.56,58.39,51.49,69.95,-3.07,2.45
LOKESHMACH,1143,2006-11-14,80.99,61.2,84.48,54.63,15.19,3.76
UNIONBANK,2071,2006-11-15,83.75,61.79,74.29,62.46,0.67,-4.22
AUTOAXLES,209,2006-11-16,75.7,56.74,57.14,64.52,2.35,3.34
GOKEX,719,2006-11-22,81.62,55.38,57.8,68.68,3.24,2.85
KIRLOSBROS,1062,2006-11-27,78.93,54.46,81.8,59.45,12.5,1.54
JKCEMENT,985,2006-11-28,88.71,60.45,63.92,73.59,0.63,-10.94
ESCORTS,594,2006-12-01,69.39,54.07,51.08,51.32,-6.59,-12.2
STYRENIX,1885,2006-12-01,87.62,63.49,71.95,79.39,-1.91,-1.76
UNICHEMLAB,2065,2006-12-13,70.44,50.65,64.25,66.77,5.84,6.97
RAMCOCEM,1579,2006-12-14,69.7,55.54,61.56,71.14,1.53,3.93
BOSCHLTD,331,2006-12-15,72.24,59.45,61.59,85.81,-2.74,-1.34
KAMATHOTEL,1026,2006-12-22,72.38,56.09,57.74,64.83,6.71,2.81
TVSHLTD,2045,2006-12-26,75.97,53.35,88.07,92.5,14.41,10.29
ZFCVINDIA,2210,2006-12-26,75.98,53.35,88.07,92.5,14.41,10.29
HEUBACHIND,803,2006-12-28,79.18,65.0,83.88,82.1,2.94,7.53
HIMATSEIDE,813,2006-12-29,73.74,54.87,51.86,50.57,8.27,9.46
MAANALU,1164,2006-12-29,76.6,56.52,53.8,59.38,0.77,5.61
MANINDS,1194,2006-12-29,76.57,56.51,53.8,59.54,0.77,5.62
TATACOMM,1953,2006-12-29,77.55,59.9,58.09,58.22,2.55,9.38
THERMAX,1990,2006-12-29,89.35,67.25,77.39,91.29,-0.93,9.11
BAJAJ-AUTO,231,2007-01-02,86.56,68.78,78.95,60.39,-1.07,1.17
BAJAJFINSV,234,2007-01-02,86.56,68.78,78.95,59.94,-1.07,1.17
BAJAJHLDNG,238,2007-01-02,86.56,68.78,78.95,59.94,-1.07,1.17
JKCEMENT,985,2007-01-02,79.59,56.43,73.15,66.31,1.22,10.26
EVERESTIND,605,2007-01-05,85.46,64.29,62.71,55.29,-2.45,8.79
GILLETTE,686,2007-01-12,82.45,59.53,63.37,80.72,3.01,2.87
BLUECOAST,317,2007-01-16,81.95,52.54,52.51,53.93,0.89,0.89
NSIL,1381,2007-01-19,85.7,70.74,83.46,84.87,-1.44,1.81
CHENNPETRO,394,2007-01-24,79.11,64.3,72.38,55.78,-4.9,-8.19
NTPC,1383,2007-01-29,84.2,64.54,74.63,64.99,-0.94,1.58
RCOM,1596,2007-01-29,79.36,59.57,80.14,77.78,7.48,-3.06
GESHIP,679,2007-02-15,78.52,59.72,59.54,57.6,-3.33,-5.4
AKZOINDIA,95,2007-03-09,86.09,62.03,65.08,80.93,-3.07,0.48
ORCHPHARMA,1414,2007-03-15,77.63,54.76,56.6,71.98,2.32,7.58
MAHSEAMLES,1179,2007-03-19,73.21,49.2,65.73,74.67,5.29,2.77
ONGC,1408,2007-03-19,64.15,47.12,63.73,60.04,7.2,6.38
PFIZER,1471,2007-03-19,90.79,59.92,65.66,56.19,5.98,7.75
CRISIL,439,2007-03-21,69.88,44.31,52.6,53.51,15.65,14.61
KEC,1043,2007-03-21,79.37,56.63,58.54,80.86,-0.68,-1.39
SAIL,1680,2007-03-21,84.63,57.7,72.23,97.02,3.84,6.39
KOTAKBANK,1076,2007-03-22,77.28,52.09,66.47,77.88,9.2,15.06
STAR,1867,2007-03-22,84.82,57.66,51.72,56.41,3.35,4.79
THERMAX,1990,2007-03-22,80.16,57.02,51.76,62.43,1.97,3.85
PFIZER,1471,2007-03-23,85.87,67.12,65.66,56.19,3.25,9.78
BBL,266,2007-03-26,82.39,52.42,63.54,61.47,1.48,9.68
LUPIN,1157,2007-03-30,78.86,60.84,65.41,77.94,4.68,9.63
SWELECTES,1931,2007-04-03,86.93,58.01,58.34,70.5,3.44,10.22
BILVYAPAR,303,2007-04-09,63.14,44.17,54.88,53.13,8.42,11.73
DICIND,507,2007-04-09,78.2,60.66,85.59,53.6,5.64,8.63
INDOTECH,902,2007-04-09,82.75,63.73,79.54,96.62,5.29,2.57
KTKBANK,1104,2007-04-09,83.63,61.53,57.22,69.81,-0.89,-5.59
SIEMENS,1794,2007-04-09,82.43,61.09,74.47,72.6,2.05,-3.47
3MINDIA,5,2007-04-10,76.52,51.65,65.23,66.36,3.9,9.11
GLAXO,692,2007-04-10,81.33,55.33,64.73,59.22,3.81,3.58
KIRLOSENG,1063,2007-04-10,74.66,56.63,71.88,55.28,3.46,6.19
MFSL,1243,2007-04-18,83.64,56.9,75.85,85.27,12.6,11.35
FOSECOIND,646,2007-04-23,85.54,68.75,70.68,68.35,-2.17,-3.52
BRITANNIA,336,2007-05-03,87.77,70.38,87.88,96.0,20.03,9.43
RADICO,1563,2007-05-04,83.06,66.04,68.33,51.9,-2.86,5.58
TIL,2000,2007-05-10,83.46,65.04,77.35,65.66,10.57,6.45
EQUIPPP,589,2007-05-17,79.85,57.39,70.87,100.0,4.56,25.74
NTPC,1383,2007-05-24,85.11,66.15,82.41,79.2,-2.34,-4.22
PFIZER,1471,2007-05-28,84.02,64.28,72.13,72.88,-1.34,-1.76
CENTUM,379,2007-05-29,74.32,54.61,70.93,62.86,18.98,2.23
DONEAR,529,2007-05-31,69.89,53.65,53.63,55.64,-12.4,-8.51
